order_id,id,express_fee,charge_weight,bill_amount
26815493910702343,1,'-9223372036854775808,616,500
26815493910702343,2,'-9223372036854775308,2618,500
26815503272498695,1,'-9223372036854775808,1177,400
26815503272498695,2,'-9223372036854775808,55,400
26815503272498695,3,400,165,400
26815506242095879,1,'-9223372036854775808,552,500
26815506242095879,2,'-9223372036854775808,552,500
26815506242095879,3,'-9223372036854775808,552,500
26815506242095879,4,'-9223372036854775308,552,500
26815530317605895,1,'-9223372036854775808,165,800
26815530317605895,2,'-9223372036854775808,159,800
26815530317605895,3,'-9223372036854775808,159,800
26815530317605895,4,'-9223372036854775808,66,800
26815530317605895,5,'-9223372036854775808,68,800
26815530317605895,6,'-9223372036854775808,68,800
26815530317605895,7,'-9223372036854775808,68,800
26815530317605895,8,'-9223372036854775808,68,800
26815530317605895,9,'-9223372036854775808,68,800
26815530317605895,10,'-9223372036854775808,91,800
26815530317605895,11,'-9223372036854775808,91,800
26815530317605895,12,'-9223372036854775808,91,800
26815530317605895,13,'-9223372036854775808,165,800
26815530317605895,14,'-9223372036854775808,66,800
26815530317605895,15,'-9223372036854775808,154,800
26815530317605895,16,'-9223372036854775808,77,800
26815530317605895,17,'-9223372036854775808,77,800
26815530317605895,18,'-9223372036854775808,99,800
26815530317605895,19,'-9223372036854775808,88,800
26815530317605895,20,'-9223372036854775808,88,800
26815530317605895,21,'-9223372036854775808,88,800
26815530317605895,22,'-9223372036854775808,135,800
26815530317605895,23,'-9223372036854775808,135,800
26815530317605895,24,'-9223372036854775808,135,800
26815530317605895,25,'-9223372036854775808,176,800
26815530317605895,26,'-9223372036854775808,242,800
26815530317605895,27,'-9223372036854775808,297,800
26815530317605895,28,'-9223372036854775808,66,800
26815530317605895,29,'-9223372036854775808,82,800
26815530317605895,30,'-9223372036854775808,82,800
26815530317605895,31,'-9223372036854775808,121,800
26815530317605895,32,'-9223372036854775808,121,800
26815530317605895,33,'-9223372036854775808,242,800
26815530317605895,34,'-9223372036854775808,139,800
26815530317605895,35,'-9223372036854775808,139,800
26815530317605895,36,'-9223372036854775808,139,800
26815530317605895,37,'-9223372036854775808,165,800
26815530317605895,38,'-9223372036854775808,341,800
26815530317605895,39,'-9223372036854775808,242,800
26815530317605895,40,'-9223372036854775808,110,800
26815530317605895,41,'-9223372036854775808,11,800
26815530317605895,42,'-9223372036854775808,11,800
26815530317605895,43,'-9223372036854775808,11,800
26815530317605895,44,'-9223372036854775808,11,800
26815530317605895,45,'-9223372036854775808,22,800
26815530317605895,46,'-9223372036854775808,11,800
26815530317605895,47,'-9223372036854775808,11,800
26815530317605895,48,'-9223372036854775808,11,800
