order_id,id,express_fee,charge_weight,bill_amount
26815486578981127,1,'-9223372036854775808,247,8000
26815486578981127,2,'-9223372036854775808,247,8000
26815486578981127,3,8000,495,8000
26815539209608967,1,'-9223372036854775808,1870,22000
26815539209608967,2,'-9223372036854775808,928,22000
26815539209608967,3,'-9223372036854775808,2475,22000
26815539209608967,4,'-9223372036854775808,748,22000
26815539209608967,5,'-9223372036854775808,528,22000
26815539209608967,6,'-9223372036854775808,150,22000
26815539209608967,7,'-9223372036854775808,302,22000
26815539209608967,8,'-9223372036854775808,150,22000
26815539209608967,9,'-9223372036854775808,150,22000
26815539209608967,10,'-9223372036854775808,454,22000
26815539209608967,11,'-9223372036854775808,302,22000
26815539209608967,12,'-9223372036854775808,150,22000
26815539209608967,13,'-9223372036854775808,150,22000
26815539209608967,14,'-9223372036854775808,150,22000
26815539209608967,15,'-9223372036854775808,150,22000
26815539209608967,16,'-9223372036854775808,302,22000
26815539209608967,17,'-9223372036854775808,150,22000
26815539209608967,18,'-9223372036854775808,150,22000
26815539209608967,19,'-9223372036854775808,302,22000
26815539209608967,20,'-9223372036854775808,150,22000
26815539209608967,21,'-9223372036854775808,150,22000
26815539209608967,22,'-9223372036854775808,302,22000
26815539209608967,23,'-9223372036854775808,154,22000
26815539209608967,24,'-9223372036854775808,154,22000
26815539209608967,25,'-9223372036854775808,484,22000
26815539209608967,26,'-9223372036854775808,126,22000
26815539209608967,27,'-9223372036854775808,126,22000
26815539209608967,28,'-9223372036854775808,126,22000
26815539209608967,29,'-9223372036854775808,126,22000
26815539209608967,30,'-9223372036854775808,407,22000
26815539209608967,31,'-9223372036854775808,407,22000
26815539209608967,32,'-9223372036854775808,203,22000
26815539209608967,33,'-9223372036854775808,203,22000
26815539209608967,34,'-9223372036854775808,203,22000
26815539209608967,35,'-9223372036854775808,203,22000
26815539209608967,36,'-9223372036854775808,242,22000
26815539209608967,37,'-9223372036854775808,146,22000
26815539209608967,38,'-9223372036854775808,73,22000
26815539209608967,39,'-9223372036854775808,226,22000
26815539209608967,40,'-9223372036854775808,226,22000
26815539209608967,41,'-9223372036854775808,226,22000
26815539209608967,42,'-9223372036854775808,226,22000
26815539209608967,43,'-9223372036854775808,226,22000
26815539209608967,44,'-9223372036854775808,226,22000
26815539209608967,45,'-9223372036854775808,226,22000
26815539209608967,46,'-9223372036854775808,253,22000
26815539209608967,47,'-9223372036854775808,253,22000
26815539209608967,48,'-9223372036854753808,506,22000
26815551960367880,1,'-9223372036854775808,220,8000
26815551960367880,2,'-9223372036854775808,22,8000
26815551960367880,3,8000,22,8000
26815560818795272,1,'-9223372036854775808,654,8000
26815560818795272,2,'-9223372036854775808,33,8000
26815560818795272,3,'-9223372036854775808,330,8000
26815560818795272,4,'-9223372036854775808,121,8000
26815560818795272,5,8000,110,8000
26815610731571976,1,'-9223372036854775808,737,8000
26815610731571976,2,'-9223372036854775808,737,8000
26815610731571976,3,'-9223372036854775808,737,8000
26815610731571976,4,'-9223372036854767808,55,8000
26815822764359944,1,'-9223372036854775808,11,48000
26815822764359944,2,'-9223372036854775808,20280,48000
26815822764359944,3,'-9223372036854775808,20280,48000
26815822764359944,4,'-9223372036854727808,11,48000
26815840011536135,1,'-9223372036854775808,445,8000
26815840011536135,2,'-9223372036854767808,445,8000
26815891602062856,1,'-9223372036854775808,589,8000
26815891602062856,2,'-9223372036854767808,589,8000
26816035602257159,1,'-9223372036854775808,2051,13000
26816035602257159,2,'-9223372036854775808,2051,13000
26816035602257159,3,'-9223372036854775808,2051,13000
26816035602257159,4,'-9223372036854762808,2051,13000
26816050467071239,1,'-9223372036854775808,4510,22000
26816050467071239,2,'-9223372036854775808,5819,22000
26816050467071239,3,22000,3927,22000
